epoch,IoU1,IoU2,IoU3,IoU4,IoU5,mIoU,valIoU1,valIoU2,valIoU3,valIoU4,valIoU5,mVal_IoU
2,0.87363225,0.52643436,0.0,0.5892612,0.51316893,50.04993677139282,0.8858153312940579,0.5097400352333358,0.0,0.5815922419107706,0.50816585464398,49.70626926164289
3,0.8265822,0.48642772,0.043480616,0.67015314,0.54801726,51.49322152137756,0.8556274563286651,0.4915677590646598,0.0230317496124152,0.6576630190117634,0.519773833886822,50.953276358086505
4,0.8803581,0.5501042,0.16350174,0.7309273,0.6829421,60.15666723251343,0.8727678179270076,0.5163967465842834,0.07784955949661967,0.6963555310541786,0.5965177825637384,55.19774875251656
5,0.90098345,0.5743171,0.16462025,0.6883836,0.66534734,59.873032569885254,0.8877077852462895,0.5352940057814193,0.10707130189127693,0.6978959346540748,0.6289899165591055,57.139178882643314
6,0.8783064,0.63923955,0.14377609,0.7536224,0.7111967,62.5228226184845,0.8882753524812675,0.5567721854556145,0.1206823779138531,0.7150429518900852,0.6493276829465878,58.602011013748154
7,0.8608976,0.57300794,0.19866414,0.6831561,0.7138989,60.592496395111084,0.8819746313701331,0.5682810052469875,0.142802507553975,0.705003559189745,0.6560312804247351,59.08185967571151
8,0.8853219,0.6065162,0.21515329,0.7396153,0.57793105,60.49075126647949,0.8857487434626317,0.5844218175874497,0.1609490312682932,0.7203262812915546,0.6525024289191048,60.07896605058068
9,0.8637896,0.62256366,0.20493257,0.72487515,0.72491586,62.82154321670532,0.882281484832668,0.5969393880120211,0.16610851509916927,0.7224473336950542,0.6741687105612766,60.83890864400379
10,0.89175093,0.3616277,0.29719204,0.6937324,0.83200204,61.52610778808594,0.8859820804036176,0.5568144914840155,0.1917664670655723,0.7178587774059142,0.7034061352379184,61.11655903194075
11,0.8836829,0.65914893,0.17979237,0.77150255,0.7040522,63.96358013153076,0.8881935278091703,0.580650037763255,0.18422921022416006,0.7311458685846765,0.7136581892278184,61.957536672181604
12,0.8899299,0.54161197,0.23843797,0.7329685,0.7736888,63.53274583816528,0.8944320535278253,0.5694293941721245,0.20434118524043068,0.7337699077758467,0.7285794699914531,62.611040214153604
13,0.9057031,0.63348246,0.236985,0.7749838,0.73079795,65.63904881477356,0.8966330050652856,0.5852358905252697,0.20240352319774474,0.7425082491652281,0.7267327383489489,63.07026812604954
14,0.905381,0.5737609,0.15777346,0.75897974,0.73244554,62.56681680679321,0.9001010217690582,0.5844030491394446,0.19316603875108562,0.7485396118942353,0.7386465915002712,63.29712626108191
15,0.9147884,0.69188875,0.22165944,0.79570204,0.75344765,67.54972338676453,0.9043557146658595,0.6003010030076451,0.20544693839932973,0.7563012798692312,0.7381640716066541,64.0913801509744
16,0.9035489,0.70096034,0.26201734,0.78801775,0.84211296,69.93314623832703,0.9037545323344044,0.6131802045282271,0.21639384888594781,0.7597636422663728,0.7575159312748064,65.01216318579517
17,0.9059321,0.5286242,0.3438111,0.7554642,0.82104176,67.09746718406677,0.904172517512884,0.6022150187355763,0.22396342792241616,0.7594949514186831,0.7666310314481527,65.12953894075424
18,0.90280765,0.67889565,0.24590538,0.7674206,0.79663223,67.83323287963867,0.9068879425788662,0.6169251028894676,0.23360288297631623,0.7626728818083918,0.7703600138749802,65.80897648256044
19,0.8979324,0.5886635,0.21895622,0.71657205,0.78661144,64.17471170425415,0.9071507744018922,0.62016131475799,0.24688003097272598,0.7582966421405292,0.7701469976638279,66.0527151987393
20,0.9142758,0.6887696,0.19934599,0.8045922,0.7677543,67.49476194381714,0.9083298225674289,0.6279075710261118,0.24284233969283175,0.7648317384382529,0.780696779602536,66.49216502654323
21,0.899215,0.6360287,0.23132594,0.75381017,0.526125,60.9300971031189,0.9074960394921426,0.6325292251767418,0.2277772521337994,0.762477263443418,0.7358004868848059,65.32160534261816
22,0.88868606,0.41601947,0.18166502,0.71017605,0.78058845,59.54269766807556,0.904906519132852,0.601293887317853,0.22617280139522675,0.7531070393268908,0.7511865726212595,64.73333639588164
23,0.9064223,0.53811985,0.22552781,0.75018543,0.802808,64.46126699447632,0.9049772077208332,0.5936652198456338,0.2259711102378705,0.7535857962648803,0.7580758087388891,64.72550285616214
24,0.92243713,0.70353913,0.3692841,0.8105192,0.7374677,70.86495161056519,0.907965885505914,0.610883202457279,0.24680075693447645,0.7622437190896018,0.757134334896957,65.70055797768457
25,0.848242,0.7048295,0.2502077,0.7524884,0.7116015,65.34737944602966,0.899493040311103,0.6207653465673895,0.24878834769164693,0.7580819018349185,0.742734536007891,65.39726344825898
26,0.9043997,0.50863576,0.2239763,0.746674,0.8033156,63.74002695083618,0.9037535392849886,0.6076512807999811,0.23575697222755718,0.7592934285355133,0.7502816051160784,65.13473651928237
27,0.92183226,0.6953318,0.2305696,0.79863024,0.6521868,65.9710168838501,0.9056881787162183,0.6216043181825859,0.2388540885020915,0.7655079574642891,0.7356433700885672,65.34595825907503
28,0.89508736,0.6951713,0.27220386,0.778659,0.77044255,68.23127865791321,0.906461474842889,0.6305769689196814,0.2366545466431311,0.7674163728029577,0.7402238663295055,65.6266645907633
29,0.91145873,0.65214074,0.32828096,0.78008896,0.81966573,69.83270049095154,0.9071308492882756,0.6402270443515677,0.24871142780099065,0.77199664517648,0.7664765687013613,66.69085070637351
30,0.8486599,0.6464634,0.34997326,0.7469165,0.73868936,66.61404967308044,0.8949226687375774,0.6475253773518117,0.2524869365071045,0.7673864083297116,0.7605276065606471,66.45697994973705
31,0.89632314,0.59041524,0.29913223,0.7571888,0.7479659,65.82050323486328,0.8988246139508997,0.6445853861468991,0.2594136474794981,0.7699103883450087,0.7725849085296546,66.9063788890392
