epoch,IoU_road,IoU_sidewalk,IoU_parking,IoU_rail track,IoU_building,IoU_wall,IoU_fence,IoU_guard rail,IoU_bridge,IoU_tunnel,IoU_pole,IoU_polegroup,IoU_traffic light,IoU_traffic sign,IoU_vegetation,IoU_terrain,IoU_person,IoU_car,IoU_truck,IoU_bus,IoU_caravan,IoU_trailer,IoU_train,IoU_motorcycle,IoU_bicycle,IoU_garage,IoU_gate,IoU_stop,IoU_smallpole,IoU_lamp,IoU_unknown construction,mIoU,valIoU_road,valIoU_sidewalk,valIoU_parking,valIoU_rail track,valIoU_building,valIoU_wall,valIoU_fence,valIoU_guard rail,valIoU_bridge,valIoU_tunnel,valIoU_pole,valIoU_polegroup,valIoU_traffic light,valIoU_traffic sign,valIoU_vegetation,valIoU_terrain,valIoU_person,valIoU_car,valIoU_truck,valIoU_bus,valIoU_caravan,valIoU_trailer,valIoU_train,valIoU_motorcycle,valIoU_bicycle,valIoU_garage,valIoU_gate,valIoU_stop,valIoU_smallpole,valIoU_lamp,valIoU_unknown construction,mVal_IoU
0,0.65539783,0.24562226,0.0,0.1245799,0.5448694,0.0,0.0,0.0,0.1245799,0.1245799,0.0,0.1245799,0.1245799,0.0,0.63860154,0.31452537,0.1245799,0.46632153,0.0,0.0,0.0,0.0,0.1245799,0.0,0.0,0.0,0.0,0.1245799,0.0,0.0,0.0,12.457990646362305,0.6666598150384798,0.2399423016912325,0.0,0.12475620282867407,0.5346420348652043,0.0,0.0,0.0,0.12475620282867407,0.12475620282867407,0.0,0.12475620282867407,0.12475620282867407,0.0,0.6423847264573335,0.3227016383458461,0.12475620282867407,0.4630622734176101,0.0,0.0,0.0,0.0,0.12475620282867407,0.0,0.0,0.0,0.0,0.12475620282867407,0.0,0.0,0.0,12.475620685306769
1,0.55201304,0.2618323,0.0,0.0,0.64504045,0.0003896688,0.0,0.0,0.12810452,0.12810452,0.0025851957,0.12810452,0.12810452,0.0,0.6813405,0.27927014,0.0,0.47603935,0.0,0.12810452,0.12810452,0.0,0.12810452,0.0,0.0,0.047893863,0.0,0.12810452,0.0,0.0,0.0,12.81045377254486,0.6038642892327498,0.2666577281058679,0.0,0.0,0.5826821416907495,0.0002528964950843225,0.0,0.0,0.11596851076123828,0.11596851076123828,0.0018789408767405688,0.11596851076123828,0.11596851076123828,0.0,0.6720034553984957,0.28459727683015656,0.0,0.46098402915625686,0.0,0.0,0.0,0.0,0.11596851076123828,0.0,0.0,0.02629212721336659,0.0,0.11596851076123828,0.0,0.0,0.0,11.596851450215798
2,0.7275464,0.29926544,0.022407832,0.15681188,0.5797485,0.11773389,0.0,0.0,0.15681188,0.15681188,0.14140445,0.15681188,0.0,0.0,0.6584089,0.26664084,0.0,0.63682866,0.0,0.15681188,0.15681188,0.0,0.15681188,0.0,0.0,0.1566881,0.0,0.15681188,0.0,0.0,0.0,15.681186318397522,0.6655548939157246,0.28490293238884823,0.009255264637483895,0.0,0.5685441780784305,0.04894771115110196,0.0,0.0,0.12296526842409804,0.12296526842409804,0.05808329200931542,0.12296526842409804,0.0,0.0,0.6577578311365717,0.2817130834210575,0.0,0.5307682764424406,0.0,0.0,0.0,0.0,0.12296526842409804,0.0,0.0,0.0915696388108432,0.0,0.12296526842409804,0.0,0.0,0.0,12.29652723907196
3,0.7745587,0.39557505,0.002046952,0.0,0.65591335,0.03072494,0.0049765813,0.0,0.16933985,0.16933985,0.08025078,0.16933985,0.0,0.0,0.7458138,0.5172379,0.0,0.7661184,0.0,0.16933985,0.0,0.0,0.16933985,0.0,0.0,0.090939805,0.0,0.16933985,0.0,0.0,0.16933985,16.93398356437683,0.7082779998058347,0.32761262494494486,0.007398210976896682,0.0,0.5797651444101722,0.04517252631975416,0.0009928487120727245,0.0,0.13236427073366197,0.13236427073366197,0.06940380525492497,0.13236427073366197,0.0,0.0,0.6747395301782956,0.3470097946546868,0.0,0.5908452615581978,0.0,0.0,0.0,0.0,0.13236427073366197,0.0,0.0,0.09025342462370148,0.0,0.13236427073366197,0.0,0.0,0.0,13.236427500347714
4,0.72316504,0.4032005,0.0052129054,0.0,0.661327,0.02920412,0.0008372497,0.0,0.15085372,0.15085372,0.120707884,0.15085372,0.15085372,0.0,0.72581756,0.37492788,0.0,0.6685924,0.0,0.0,0.15085372,0.0,0.0,0.0,0.0,0.058350526,0.0,0.15085372,0.0,0.0,0.0,15.08537232875824,0.7188384132942433,0.34811275245180295,0.007345262206590748,0.0,0.5959774328327997,0.038501762839023373,0.0011216274512849634,0.0,0.13145874264989554,0.13145874264989554,0.08587655715531785,0.13145874264989554,0.0,0.0,0.6911335522403597,0.35682018120926484,0.0,0.6167764272996338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08888221402560166,0.0,0.13145874264989554,0.0,0.0,0.0,13.145874689050013
5,0.73366725,0.4064699,0.03827075,0.16287592,0.6987073,0.0031016544,0.0,0.0,0.16287592,0.0,0.13295685,0.16287592,0.16287592,0.0,0.70539695,0.40327406,0.0,0.7399539,0.0,0.16287592,0.16287592,0.0,0.16287592,0.0,0.0,0.047223542,0.0,0.0,0.0,0.0,0.0,16.28759354352951,0.7249490707188796,0.36731355621969425,0.01597034066395647,0.0,0.621188830285584,0.023881311454851034,0.001031533964617112,0.0,0.12530332429040478,0.0,0.09931041341986699,0.12530332429040478,0.0,0.0,0.6922331790296506,0.37839217454378876,0.0,0.6355971659414522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0739289534827212,0.0,0.0,0.0,0.0,0.0,12.530332833244747
6,0.7525673,0.44476944,0.06193432,0.1916891,0.66741514,0.019812366,0.013556948,0.0,0.1916891,0.1916891,0.35013175,0.1916891,0.1916891,0.0,0.7320684,0.4426575,0.0,0.74308103,0.0,0.1916891,0.1916891,0.0,0.1916891,0.0,0.0,0.18085597,0.0,0.0,0.0,0.0,0.0,19.16891187429428,0.739450011041249,0.3833571344880582,0.02775514137161347,0.0,0.6236576655191434,0.024123591924534938,0.004849499192464144,0.0,0.13336976977538662,0.0,0.19390154366505002,0.13336976977538662,0.0,0.0,0.7017644729353513,0.4051804685104225,0.0,0.6499745194156282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11370940879246715,0.0,0.0,0.0,0.0,0.0,13.336977407763731
7,0.6654201,0.4053049,0.11936164,0.17097759,0.68777025,0.066979,0.02248203,0.0,0.17097759,0.17097759,0.18733577,0.17097759,0.17097759,0.0,0.73027474,0.3942803,0.0,0.6449903,0.0,0.17097759,0.0,0.0,0.17097759,0.0,0.0,0.17926295,0.0,0.0,0.0,0.0,0.0,17.097759246826172,0.7261212762097867,0.38918708168743466,0.05865984283199763,0.0,0.6349093676425086,0.03703730620821912,0.009542933025740063,0.0,0.13502063256563068,0.0,0.19177170226844834,0.13502063256563068,0.0,0.0,0.7061074636457784,0.392871283958115,0.0,0.6524169595295272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11697326241636706,0.0,0.0,0.0,0.0,0.0,13.502063692113495
8,0.792678,0.4765334,0.11892738,0.18977453,0.6968158,0.048278768,0.029590279,0.0,0.18977453,0.0,0.31144616,0.18977453,0.0,0.0,0.7280389,0.4876839,0.0,0.6956329,0.0,0.18977453,0.18977453,0.0,0.18977453,0.0,0.0,0.16896357,0.0,0.0,0.0,0.0,0.18977453,18.97745281457901,0.7423868549055118,0.40848875614409663,0.07045089993192427,0.0,0.6366135165956323,0.03392967054325539,0.013126291846306114,0.0,0.13901111100926963,0.0,0.20841552155593324,0.13901111100926963,0.0,0.0,0.7086930341943442,0.42059253453966305,0.0,0.6713017708376219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11732350718564162,0.0,0.0,0.0,0.0,0.0,13.901111549349904
9,0.7533314,0.4723106,0.17599244,0.0,0.5810625,0.07736414,0.10980759,0.0,0.19943063,0.19943063,0.3468217,0.19943063,0.19943063,0.0,0.6649544,0.4490777,0.0,0.81809753,0.0,0.19943063,0.19943063,0.0,0.0,0.0,0.0,0.3355165,0.0019990124,0.19943063,0.0,0.0,0.0,19.943062961101532,0.7489876673754805,0.4273111308636192,0.09911403002368327,0.0,0.6194464424359901,0.04805476987727521,0.037283754359183095,0.0,0.14547942009019257,0.0,0.246982160024696,0.14547942009019257,0.0,0.0,0.7015273264108932,0.4194496315266589,0.0,0.690307566857667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17987978966989063,0.0005590586699668906,0.0,0.0,0.0,0.0,14.547942478307707
