epoch,IoU_ground,IoU_road,IoU_sidewalk,IoU_parking,IoU_rail track,IoU_building,IoU_wall,IoU_fence,IoU_guard rail,IoU_pole,IoU_traffic light,IoU_traffic sign,IoU_vegetation,IoU_terrain,IoU_person,IoU_car,IoU_truck,IoU_bus,IoU_caravan,IoU_trailer,IoU_train,IoU_motorcycle,IoU_bicycle,IoU_garage,IoU_gate,IoU_stop,IoU_smallpole,IoU_lamp,IoU_unknown construction,mIoU,valIoU_ground,valIoU_road,valIoU_sidewalk,valIoU_parking,valIoU_rail track,valIoU_building,valIoU_wall,valIoU_fence,valIoU_guard rail,valIoU_pole,valIoU_traffic light,valIoU_traffic sign,valIoU_vegetation,valIoU_terrain,valIoU_person,valIoU_car,valIoU_truck,valIoU_bus,valIoU_caravan,valIoU_trailer,valIoU_train,valIoU_motorcycle,valIoU_bicycle,valIoU_garage,valIoU_gate,valIoU_stop,valIoU_smallpole,valIoU_lamp,valIoU_unknown construction,mVal_IoU
0,0.0,0.6949784,0.1326091,0.0,0.0,0.57496804,0.0,0.0,0.0,0.0,0.0,0.0,0.6455506,0.28102514,0.0,0.47085127,0.0,0.111999296,0.111999296,0.0,0.111999296,0.0,0.0,0.0,0.0,0.111999296,0.0,0.0,0.0,11.199929565191269,0.0,0.706887679468447,0.1370640230766103,0.0,0.0,0.5569255058673152,0.0,0.0,0.0,0.0,0.0,0.0,0.646190958825769,0.2520811596871815,0.0,0.49718696241609406,0.0,0.1118534470995188,0.1118534470995188,0.0,0.1118534470995188,0.0,0.0,0.0,0.0,0.1118534470995188,0.0,0.0,0.0,11.185345095653421
1,0.0,0.69593126,0.33593953,0.004331388,0.13683526,0.6031402,0.0010767345,0.0,0.0,0.0,0.0,0.0,0.6886903,0.42819533,0.0,0.66357684,0.0,0.13683526,0.0,0.0,0.13683526,0.0,0.0,0.0,0.0,0.13683526,0.0,0.0,0.0,13.683527708053589,0.0,0.7021150453368783,0.25490452573722056,0.002258070976525817,0.0,0.5874527678421231,0.0004618414828671749,0.0,0.0,0.0,0.0,0.0,0.6699727322528601,0.318971877399037,0.0,0.5850655989272802,0.0,0.12004624384263646,0.0,0.0,0.12004624384263646,0.0,0.0,0.0,0.0,0.12004624384263646,0.0,0.0,0.0,12.004624798216213
2,0.0,0.67317164,0.3026243,0.005182716,0.13202056,0.6226757,0.040184375,0.0,0.0,0.0007622081,0.13202056,0.0,0.6872476,0.37541413,0.0,0.4612151,0.0,0.13202056,0.0,0.0,0.13202056,0.0,0.0,1.600084e-05,0.0,0.13202056,0.0,0.0,0.0,13.202057778835297,0.0,0.6978330467316493,0.270202769409184,0.0037182080115019784,0.0,0.5888627344961629,0.015850559981328546,0.0,0.0,0.0002895572576098491,0.0,0.0,0.6772367243759352,0.3668328522376604,0.0,0.5439297622173493,0.0,0.12172164713112109,0.0,0.0,0.12172164713112109,0.0,0.0,6.7324124141121095e-06,0.0,0.12172164713112109,0.0,0.0,0.0,12.172165132841927
3,0.0,0.63471,0.34547892,0.0239431,0.13618785,0.65051895,0.0,0.0,0.0,0.0197809,0.0,0.0,0.68640316,0.35054016,0.0,0.5389747,0.0,0.13618785,0.13618785,0.0,0.13618785,0.0,0.0,0.018158898,0.0,0.13618785,0.0,0.0,0.0,13.61878514289856,0.0,0.6780589748296652,0.2994605659090275,0.009369899882602235,0.0,0.6112791413482989,0.009764208048129506,0.0,0.0,0.0079135952635087,0.0,0.0,0.6676913022997464,0.35644692791546384,0.0,0.5400625433914011,0.0,0.1225044768181659,0.0,0.0,0.1225044768181659,0.0,0.0,0.005069360888947316,0.0,0.1225044768181659,0.0,0.0,0.0,12.250448104245821
4,0.008087215,0.75851387,0.35795394,0.043048065,0.14430454,0.5316172,0.0018692672,0.0,0.0,0.17392382,0.0,0.0,0.6672388,0.33328804,0.0,0.7207684,0.0,0.14430454,0.0,0.0,0.14430454,0.0,0.0,0.011305065,0.0,0.14430454,0.0,0.0,0.0,14.4304558634758,0.003188588939988593,0.7071147086806492,0.30814319189928535,0.01859845108744398,0.0,0.5864633895558379,0.008023924448829387,0.0,0.0,0.06692911005045124,0.0,0.0,0.6664330761661669,0.36344494477596756,0.0,0.5978352012176025,0.0,0.12815865488831907,0.0,0.0,0.12815865488831907,0.0,0.0,0.005950568432727926,0.0,0.12815865488831907,0.0,0.0,0.0,12.8158659307583
5,0.00348071,0.7237459,0.38682824,0.11302718,0.0,0.63207364,0.031905487,0.010890924,0.0,0.19120835,0.0,0.0,0.7234634,0.34694457,0.0,0.72274387,0.0,0.16379596,0.16379596,0.0,0.16379596,0.0,0.0,0.20858702,0.0,0.16379596,0.0,0.0,0.0,16.379596292972565,0.0031288749366894675,0.7107606553212997,0.32789609663912217,0.049379824436322786,0.0,0.593500559314565,0.01610466482768795,0.002618709399536336,0.0,0.11233164482238389,0.0,0.0,0.6771657496891302,0.35296785683545845,0.0,0.6421925389159217,0.0,0.1369402028306684,0.0,0.0,0.1369402028306684,0.0,0.0,0.07239823539946426,0.0,0.1369402028306684,0.0,0.0,0.0,13.694020755274435
6,0.0,0.73504126,0.39224926,0.08786524,0.16309913,0.62860465,0.0035855935,0.0004963819,0.0,0.21454784,0.0,0.0,0.717784,0.4271296,0.0,0.7137235,0.0,0.16309913,0.16309913,0.0,0.16309913,0.0,0.0,0.15645108,0.0,0.0,0.0,0.0,0.0,16.309913992881775,0.00272682048096956,0.7219480387311802,0.35251524119082084,0.05689046142026087,0.0,0.5996166924338746,0.011551933134625447,0.002510348395996455,0.0,0.1334905590551976,0.0,0.0,0.6868411038282937,0.3741166788057298,0.0,0.6562125242958692,0.0,0.13724836531823775,0.0,0.0,0.13724836531823775,0.0,0.0,0.10728559906796625,0.0,0.0,0.0,0.0,0.0,13.724837005093999
7,0.0,0.71260506,0.36668777,0.079725616,0.0,0.7045582,0.06520491,0.10686774,0.0,0.22990042,0.0,0.0,0.7369858,0.36258024,0.0,0.73697025,0.0,0.16526818,0.0,0.0,0.16526818,0.0,0.0,0.19488683,0.0,0.16526818,0.0,0.0,0.0,16.52681678533554,0.002425621523684982,0.7222096517447216,0.35944863785431447,0.06856542396439566,0.0,0.6120916941781085,0.022191306797451654,0.0333983862756033,0.0,0.164462067330813,0.0,0.0,0.6955646580277368,0.37163152256434984,0.0,0.6695625944944142,0.0,0.14242506807209598,0.0,0.0,0.14242506807209598,0.0,0.0,0.12392541561606572,0.0,0.0,0.0,0.0,0.0,14.242507298330526
8,0.0,0.7969698,0.40111774,0.116643116,0.0,0.6700473,0.15963075,0.06850267,0.0,0.33072263,0.0,0.0,0.7258668,0.45385987,0.0,0.6624306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18748914,0.0,0.16333143,0.0,0.0,0.0,16.333144903182983,0.002243734308786416,0.7427279898496145,0.3682088685412155,0.0798686608156549,0.0,0.6194044119756226,0.05406212325633731,0.044948432030620065,0.0,0.22037769505110757,0.0,0.0,0.7034974486735907,0.38127923938786157,0.0,0.6683792645621156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13977703742561226,0.0,0.0,0.0,0.0,0.0,13.87853415820048
9,0.0,0.7952014,0.46819672,0.081479944,0.18634996,0.72772086,0.008428432,0.02477765,0.0,0.21716902,0.0,0.0,0.7379648,0.5406903,0.0,0.6657709,0.0,0.18634996,0.18634996,0.0,0.18634996,0.0,0.0,0.20499893,0.0,0.18634996,0.0,0.0,0.0,18.634997308254242,0.0020968723705166335,0.756010443669859,0.3893901315897009,0.08310198023687253,0.0,0.6351055592035072,0.05049519696524237,0.03876639585950605,0.0,0.2251458251893279,0.0,0.0,0.7092456195964899,0.39730371760969346,0.0,0.663236658278096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1650455910325108,0.0,0.0,0.0,0.0,0.0,14.189462040004559
10,0.0,0.75372857,0.37864995,0.06412274,0.15297723,0.72447675,0.013788501,0.021106236,0.0,0.12082418,0.0,0.0,0.7312998,0.36096904,0.0,0.5892683,0.0,0.15297723,0.15297723,0.0,0.15297723,0.0,0.0,0.06619699,0.0,0.0,0.0,0.0,0.0,15.297725796699524,0.0017657743153727528,0.7582615283816694,0.3916745755735336,0.08073562400208517,0.0,0.6393313422333989,0.04633758600852474,0.03495052027556237,0.0,0.20976721018396927,0.0,0.0,0.7089976081742514,0.38447141638566557,0.0,0.6504865691046151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1497312067479916,0.0,0.0,0.0,0.0,0.0,13.987968832367722
11,0.000623996,0.72372633,0.4122783,0.12912893,0.18955603,0.62790364,0.13033727,0.12407757,0.0,0.2375101,0.0,0.0,0.75334007,0.47172228,0.0,0.7303888,0.0,0.18955603,0.18955603,0.0,0.18955603,0.0,0.0,0.20462306,0.003684459,0.18955603,0.0,0.0,0.0,18.95560324192047,0.001616235198770894,0.7495282246180717,0.3989362740399811,0.08865353786312888,0.0,0.644017022832522,0.07410692714403845,0.06357714451844039,0.0,0.2325274873821858,0.0,0.0,0.719307758155284,0.3955153332087779,0.0,0.6720154245818035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1532120414394476,0.001312031019320626,0.0,0.0,0.0,0.0,14.463191179316459
12,0.000465474,0.7732032,0.42370358,0.12065737,0.19186173,0.73077226,0.012198204,0.11589144,0.0,0.2410181,0.19186173,0.0,0.7618588,0.43242916,0.0,0.768995,0.0,0.19186173,0.0,0.0,0.19186173,0.0,0.0,0.22348912,0.0,0.19186173,0.0,0.0,0.0,19.186173379421234,0.0011207404052742626,0.7594460999579378,0.40421114346034964,0.09507106999095584,0.0,0.6492415126249004,0.06468975622193737,0.07708365463311338,0.0,0.23471775415042131,0.0,0.0,0.721344212138386,0.40446091291654124,0.0,0.6929656744600022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17111964499149235,0.0012917329093769833,0.0,0.0,0.0,0.0,14.747461754692026
13,0.023607794,0.8205671,0.48652318,0.13017619,0.21361242,0.6372084,0.021794392,0.14988878,0.0,0.22229385,0.0,0.0,0.7699116,0.46784544,0.0,0.7563588,0.0,0.21361242,0.21361242,0.0,0.21361242,0.0,0.21361242,0.21329768,0.0,0.21361242,0.0,0.0,0.21361242,21.36124223470688,0.004819541114674103,0.7752039318991892,0.4242448119587637,0.10388986256809624,0.0,0.6484408886859031,0.060056889521436826,0.09084233225369,0.0,0.23319605047716588,0.0,0.0,0.7289027241953469,0.41076108429167957,0.0,0.7152293197577743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18144223721330865,0.0012823453844712737,0.0,0.0,0.0,0.0,15.09762765283276
14,0.019174352,0.7182704,0.46063823,0.11687525,0.18404853,0.6865158,0.05020793,0.08227742,0.0,0.15702379,0.0,0.0,0.7310201,0.43919373,0.0,0.77451086,0.0,0.0,0.18404853,0.0,0.18404853,0.0,0.0,0.36550552,0.0,0.18404853,0.0,0.0,0.0,18.404854834079742,0.007021305211190172,0.7702166839399021,0.4360341557994258,0.11051586561781307,0.0,0.6590683544763262,0.06365758374213504,0.09859968765979243,0.0,0.22152470931906718,0.0,0.0,0.7323533401867881,0.41597666695698815,0.0,0.7248301196338978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2143163220328691,0.0012672346174917657,0.0,0.0,0.0,0.0,15.363386307564436
