epoch,IoU_rail track,IoU_gate,IoU_person,IoU_vegetation,IoU_terrain,IoU_garage,IoU_license plate,mIoU,valIoU_rail track,valIoU_gate,valIoU_person,valIoU_vegetation,valIoU_terrain,valIoU_garage,valIoU_license plate,mVal_IoU
0,0.85628355,0.004859129,0.0,0.62473977,0.06630502,0.5750522,0.2832588,34.43569540977478,0.8675551458572351,0.004594932412853067,0.0,0.6090396448351603,0.057317020146901154,0.578285849198437,0.29309660423633876,34.42698852409893
1,0.88140297,0.06279135,0.0,0.70414406,0.45531154,0.53383857,0.5282292,45.22453844547272,0.8843308929784415,0.03618914128691545,0.0,0.6543881995578466,0.3401802105054021,0.5593295284757831,0.4263469803517373,41.4394993308018
2,0.5642461,0.025600117,0.055846862,0.6981144,0.1928635,0.63459057,0.61772066,39.842602610588074,0.755891186136699,0.03343273228280966,0.022598965647414405,0.6745162779705097,0.2263479119524671,0.5806633788550812,0.5185162952874696,40.170953544749295
3,0.8935352,0.25159252,0.2576295,0.71147776,0.48324803,0.54816437,0.60100126,53.52355241775513,0.8081701907115477,0.13760817725077765,0.13305783606026755,0.6886254120169112,0.2711667758358739,0.5803181163569323,0.5619928131267773,45.44199030512982
4,0.8916723,0.121996135,0.14707905,0.7149098,0.46111006,0.6609922,0.6762748,52.486205101013184,0.8353086818520833,0.1328635446425054,0.13667252470387234,0.6948341847384187,0.3072374851669532,0.5974373773565739,0.6120926933627558,47.377807026045176
5,0.892228,0.17623898,0.41070214,0.7444584,0.4369479,0.6985162,0.60208666,56.58826231956482,0.8495307806572167,0.13954875207984366,0.19848438022252274,0.7077847687896662,0.32779041925793556,0.622359015715344,0.6139892613004262,49.42124825747079
6,0.8965509,0.15022473,0.31133282,0.7014402,0.4263883,0.65171766,0.7625908,55.71779012680054,0.859069212299843,0.14083046075620875,0.22238996385218435,0.7079829518284839,0.33175713712616167,0.6256075386358553,0.6528680791030086,50.57864776573923
7,0.87933934,0.14197627,0.36068842,0.7403319,0.50166905,0.6893388,0.6273375,56.29544258117676,0.8653625516165906,0.14519429006826384,0.24069785439490948,0.7146743096569629,0.3809792694752422,0.6366443280601658,0.6441628936153821,51.82450709839309
8,0.89114213,0.23288888,0.29938155,0.7617669,0.48371896,0.7700371,0.7223304,59.446656703948975,0.8729641445961049,0.15997096937839736,0.24958166480026778,0.7253657806258098,0.39912175457554433,0.6567163255179511,0.6620242069007155,53.224926377068435
9,0.88916737,0.12691602,0.2842924,0.7341147,0.50884295,0.741375,0.6032508,55.542272329330444,0.876146262558823,0.15652955822482575,0.26567262885507165,0.7254825133354175,0.41282252687936927,0.665618502150206,0.6501557744483049,53.60611094931455
10,0.9059403,0.22215694,0.42171037,0.7615945,0.4617899,0.7536256,0.81203765,61.98364496231079,0.8828671295483101,0.1679030107426991,0.2901715346641308,0.7326769351899104,0.4204260883444784,0.6771379425346528,0.6868759907800838,55.11512331148951
11,0.91358817,0.1256607,0.37678194,0.69285816,0.5283785,0.64208543,0.7676763,57.81469941139221,0.8879038512568067,0.15993680746793876,0.3166375235098854,0.7256217186704667,0.4326006291890777,0.6595557895579925,0.7059036771125673,55.54514281092479
12,0.8832062,0.15598355,0.26713434,0.7334834,0.46302155,0.6825828,0.6293626,54.496777057647705,0.8864929732046462,0.16432317873782637,0.30587399575292723,0.7267790366909959,0.4331467712219528,0.6684696280962827,0.687673808042274,55.32513416781294
13,0.89945096,0.15832682,0.3262754,0.7306342,0.4544455,0.67180246,0.78683686,57.53960609436035,0.8942662673208036,0.16071257483939522,0.31860399367462483,0.7306974761613234,0.4517583809872998,0.6770752897642459,0.7088893756803594,56.31433369182932
14,0.89979666,0.12310899,0.3222137,0.76279336,0.52559257,0.7682854,0.7052982,58.67270231246948,0.895018950309869,0.1535774737230968,0.31542693198485094,0.7352798131389342,0.4633103209278622,0.6847908570914579,0.7133040200494766,56.581548103222104
15,0.8806127,0.19401717,0.3045798,0.76039517,0.3954931,0.73826027,0.69864804,56.742942333221436,0.8936158678485195,0.16033190706499212,0.3199969227740654,0.7388410656029942,0.4506078252260536,0.6909161781259844,0.7162602482671164,56.722428784424636
16,0.8941541,0.21788895,0.3836804,0.77357525,0.50909317,0.7300291,0.78158057,61.28573417663574,0.8937817231640525,0.17737051652475713,0.3565099714725473,0.7435770631346869,0.45704625926425724,0.6920930160872781,0.7259380605357367,57.804523002618794
17,0.9026721,0.19427933,0.3292456,0.7889645,0.49338496,0.76317614,0.77132344,60.614949464797974,0.8952799398483969,0.18477006000327764,0.3743582973225591,0.74850891364976,0.4585967375519689,0.6960814805607768,0.728451858353377,58.37210410414452
18,0.87920165,0.077015586,0.3434635,0.7721989,0.46067044,0.7875044,0.7406512,58.01008343696594,0.892890307871611,0.17216170153888494,0.36382000768500883,0.7514454463216563,0.4624053112677864,0.7018652367029149,0.7307866446880568,58.219637943941706
19,0.90216875,0.2880546,0.47523826,0.7533723,0.47324052,0.6417383,0.7598873,61.33856773376465,0.8956358086115963,0.1857267813957729,0.3758905869833577,0.7513964217859725,0.46647298996979103,0.6984483754475077,0.7316558828138957,58.64609781439849
20,0.9107962,0.22925656,0.41062328,0.6852386,0.45548117,0.6673884,0.41866317,53.96353602409363,0.8983342700573015,0.19393235658487973,0.3879698730946208,0.7384031711994526,0.4673003696813888,0.6816646558929284,0.6929777676811887,58.00832091702516
21,0.8983814,0.175206,0.46899807,0.7516421,0.5232365,0.66426414,0.8228464,61.493927240371704,0.8996557858830582,0.19169407402975594,0.4017688583948497,0.7386344652089604,0.47370691410454985,0.6759940659183429,0.7123790662600035,58.483331854278866
22,0.9006677,0.20385818,0.42748109,0.78513825,0.5229225,0.7660731,0.8239256,63.28666806221008,0.9000433646077889,0.19193199795686167,0.4133121222996539,0.7439258345194343,0.4770753611450891,0.6850157190398931,0.7277892804025128,59.129909713874774
23,0.9043637,0.24151908,0.39911163,0.7736362,0.5041389,0.7921679,0.7683543,62.618452310562134,0.9015985483084077,0.19797074874584908,0.40642893560179616,0.7493157483757665,0.48029335495980124,0.7022271982295295,0.742942025315242,59.72537942194845
24,0.91359854,0.1836717,0.45977193,0.7732011,0.5030545,0.76135665,0.7900464,62.63858079910278,0.904140271920496,0.19514121088433672,0.4019406729624116,0.7524988752316607,0.481644974464694,0.7102145501884437,0.7480477211981029,59.90897538357351
25,0.9100848,0.17250802,0.2790324,0.7871866,0.5340876,0.76666236,0.79216266,60.59606671333313,0.904115734139826,0.19280543287574137,0.38349246660549563,0.7576692471814599,0.4855690035714561,0.7169136963655526,0.7527402139763191,59.90436849594073
26,0.8954932,0.19948728,0.4011563,0.7663773,0.52055854,0.7545089,0.82707876,62.35228776931763,0.9033023135155717,0.19255064137574543,0.38523403923462096,0.7583336170231152,0.49103591961202986,0.7158556036589615,0.7596611232754927,60.085332252793386
27,0.8898129,0.2676382,0.39535442,0.7530612,0.5103795,0.6914335,0.7967184,61.49140000343323,0.9006413517301995,0.19707320079415316,0.3814872991316324,0.7548723300682311,0.4805732929992448,0.7099001721803471,0.770570160670957,59.93025439392522
28,0.9211207,0.24284913,0.34096292,0.75911856,0.5622336,0.67047435,0.8181176,61.6411030292511,0.9039178577528064,0.2025993965871502,0.38407821228956823,0.753973638840808,0.48325477893977964,0.6994704626038414,0.7798617719499709,60.10223027091322
29,0.90934056,0.20547436,0.22006185,0.7958767,0.5607458,0.79556555,0.80154955,61.265915632247925,0.9025128045997505,0.19906165601704626,0.36011610182823234,0.7571337175727121,0.480339958997085,0.7098901048134105,0.7772522759990976,59.80438028324764
30,0.8987668,0.20273417,0.29622298,0.7663453,0.5136564,0.73665243,0.7988684,60.1892352104187,0.9022033255490534,0.20089901939396923,0.36449316039736535,0.7601087747680682,0.49330317209468366,0.7145432039783424,0.7843936446433449,60.28491858321182
31,0.88188565,0.3212902,0.3396766,0.7717222,0.47666845,0.7669813,0.7241275,61.17645502090454,0.8989845323846576,0.21720591648663784,0.37547593960193687,0.7614208497719691,0.4871342600361392,0.7218814605822402,0.781360642434019,60.62090858996571
32,0.8954071,0.13978814,0.30455238,0.72739226,0.3563605,0.66533136,0.80063844,55.56386113166809,0.9027910171980718,0.20888812645518356,0.375227548170598,0.7609071111701873,0.4918952534277335,0.7184572232903391,0.7882752641149414,60.663450626100776
33,0.9134475,0.13178605,0.4264679,0.7443887,0.53966486,0.6962207,0.81101716,60.899895429611206,0.9051362606827703,0.19736487120711058,0.3806958693460476,0.7584898465911954,0.4986913529703515,0.7150309547255574,0.7919444378371879,60.67647990514601
34,0.90299094,0.2505113,0.5114348,0.7699459,0.5470248,0.70263565,0.8355282,64.57244753837585,0.9052772353724824,0.21098901699994946,0.4075645850459986,0.7588385395916176,0.4971289826366047,0.7100070621597365,0.8012791576897776,61.30120827851666
35,0.9165545,0.13283743,0.19330357,0.760096,0.5746501,0.7517522,0.7155617,57.7822208404541,0.9060728130052077,0.1992906611089426,0.36812881868035147,0.7586855623486031,0.5055355631295687,0.7134097392742639,0.7867582763798653,60.54116334181147
36,0.91188395,0.11093582,0.51094526,0.74737585,0.5455428,0.74381644,0.7833867,62.19838261604309,0.9070604762867498,0.1874736663125135,0.38906973467399397,0.7555934840149724,0.5017721128099286,0.7144212554148298,0.7907128508229296,60.65862257622741
