epochs steps out_loss offset_loss train_accuracy time
0 0 0.524 2.607 0.826 5.671
0 1 0.805 2.023 0.781 5.963
0 2 0.273 2.572 0.882 6.324
0 3 0.290 2.699 0.887 6.713
0 4 0.420 1.902 0.870 7.009
0 5 0.544 2.381 0.828 7.323
0 6 0.416 1.750 0.862 7.547
0 7 0.223 2.560 0.912 7.821
0 8 0.364 2.427 0.876 8.146
0 9 0.434 2.451 0.844 8.431
0 10 0.320 2.546 0.880 8.762
0 11 0.220 2.703 0.909 9.075
0 12 0.371 2.520 0.880 9.398
0 13 0.286 3.044 0.893 9.788
0 14 0.407 2.010 0.851 9.984
0 15 0.312 2.725 0.906 10.242
0 16 0.242 2.750 0.898 10.602
0 17 0.428 2.811 0.860 10.916
0 18 0.381 3.552 0.897 11.398
0 19 0.378 1.951 0.848 11.588
0 20 0.339 2.595 0.891 11.882
0 21 0.250 2.723 0.909 12.209
0 22 0.231 2.946 0.923 12.509
0 23 0.336 2.857 0.911 12.816
0 24 0.216 2.515 0.913 13.093
1 0 0.254 2.764 0.904 22.773
1 1 0.210 2.915 0.926 23.059
1 2 0.174 2.748 0.937 23.395
1 3 0.299 2.760 0.889 23.670
1 4 0.256 1.932 0.927 23.837
1 5 0.246 3.081 0.910 24.161
1 6 0.502 2.299 0.798 24.415
1 7 0.274 2.747 0.900 24.744
1 8 0.417 2.551 0.817 25.045
1 9 0.280 2.726 0.909 25.437
1 10 0.503 2.271 0.800 25.738
1 11 0.208 2.760 0.922 26.091
1 12 0.187 2.768 0.934 26.450
1 13 0.391 2.853 0.883 26.817
1 14 0.246 2.747 0.906 27.194
1 15 0.381 1.933 0.839 27.393
1 16 0.253 2.587 0.912 27.666
1 17 0.711 2.256 0.694 27.927
1 18 0.178 2.963 0.937 28.251
1 19 0.461 2.514 0.810 28.601
1 20 0.249 2.710 0.897 28.889
1 21 0.449 2.440 0.782 29.072
1 22 0.594 2.014 0.752 29.235
1 23 0.261 2.809 0.898 29.623
1 24 0.324 3.010 0.863 30.056
2 0 0.348 2.786 0.868 38.312
2 1 0.648 2.082 0.749 38.501
2 2 0.385 2.030 0.859 38.689
2 3 0.255 2.884 0.896 39.036
2 4 0.422 2.582 0.821 39.310
2 5 0.267 2.087 0.939 39.466
2 6 0.574 2.585 0.758 39.684
2 7 0.315 2.658 0.864 40.023
2 8 0.307 2.391 0.870 40.279
2 9 0.269 2.824 0.896 40.641
2 10 0.238 2.769 0.901 40.986
2 11 0.516 2.751 0.707 41.157
2 12 0.287 2.770 0.890 41.517
2 13 0.280 2.678 0.881 41.841
2 14 1.411 3.728 0.594 42.054
2 15 0.217 3.004 0.915 42.444
2 16 1.024 3.182 0.684 42.635
2 17 0.576 2.100 0.805 42.813
2 18 0.234 3.008 0.902 43.153
2 19 0.558 2.399 0.747 43.430
2 20 0.599 2.596 0.747 43.721
2 21 0.372 3.015 0.825 44.112
2 22 0.305 2.879 0.855 44.431
2 23 0.394 3.275 0.848 44.759
2 24 0.333 2.824 0.870 45.088
3 0 0.352 2.939 0.859 51.310
3 1 0.721 2.815 0.756 53.719
3 2 0.428 2.596 0.831 54.012
3 3 0.462 2.514 0.827 54.200
3 4 0.250 2.762 0.910 54.492
3 5 0.252 2.758 0.905 54.770
3 6 0.333 3.212 0.885 55.146
3 7 0.455 2.147 0.839 55.371
3 8 0.235 2.894 0.907 55.657
3 9 1.366 2.743 0.641 55.893
3 10 1.586 2.708 0.530 56.061
3 11 0.425 2.442 0.815 56.283
3 12 0.273 2.731 0.902 56.608
3 13 0.317 2.188 0.895 56.822
3 14 0.526 2.917 0.770 57.009
3 15 0.331 2.780 0.880 57.343
3 16 0.465 2.962 0.824 57.717
3 17 0.428 3.135 0.831 58.137
3 18 0.867 2.815 0.586 58.470
3 19 0.326 2.910 0.879 58.793
3 20 0.747 2.189 0.725 59.002
3 21 0.500 2.482 0.776 59.188
3 22 0.626 2.198 0.733 59.344
3 23 0.356 2.929 0.867 59.684
3 24 0.564 2.756 0.802 59.902
4 0 0.367 3.162 0.861 66.849
4 1 0.377 2.567 0.867 67.018
4 2 0.491 2.869 0.833 67.368
4 3 0.365 2.662 0.857 67.621
4 4 0.391 2.839 0.844 67.926
4 5 0.400 2.932 0.826 68.252
4 6 0.613 2.688 0.704 68.501
4 7 0.527 3.582 0.757 68.708
4 8 0.299 3.105 0.873 69.022
4 9 0.396 2.546 0.832 69.270
4 10 0.366 2.669 0.855 69.516
4 11 0.207 3.020 0.919 69.868
4 12 0.196 2.858 0.935 70.178
4 13 0.431 2.418 0.848 70.329
4 14 0.577 3.110 0.741 70.520
4 15 0.435 2.547 0.814 70.728
4 16 0.268 2.742 0.909 71.055
4 17 0.700 3.491 0.716 71.230
4 18 0.500 2.911 0.828 71.481
4 19 0.260 3.233 0.909 71.749
4 20 0.384 2.610 0.834 71.966
4 21 0.273 2.805 0.895 72.280
4 22 0.465 2.601 0.802 72.595
4 23 0.398 3.153 0.855 72.861
4 24 0.278 2.922 0.904 73.200
5 0 0.255 2.548 0.909 79.509
5 1 0.299 2.950 0.891 81.987
5 2 0.390 2.465 0.866 82.246
5 3 0.428 2.843 0.833 82.482
5 4 1.325 4.378 0.701 82.720
5 5 0.463 2.647 0.809 83.030
5 6 0.432 2.411 0.835 83.272
5 7 0.305 2.678 0.879 83.545
5 8 0.528 2.600 0.789 83.798
5 9 0.283 2.758 0.878 84.134
5 10 0.294 2.918 0.878 84.515
5 11 0.329 2.599 0.886 84.782
5 12 0.317 2.677 0.872 85.119
5 13 0.332 3.025 0.856 85.426
5 14 0.260 2.992 0.894 85.788
5 15 0.285 2.385 0.903 86.082
5 16 0.312 2.670 0.879 86.317
5 17 0.298 2.937 0.868 86.706
5 18 0.242 3.045 0.906 87.156
5 19 0.369 2.320 0.839 87.399
5 20 0.237 2.887 0.917 87.746
5 21 0.520 2.144 0.815 87.970
5 22 0.325 2.668 0.886 88.254
5 23 0.251 2.979 0.894 88.605
5 24 0.295 3.094 0.882 88.957
