epoch,IoU_flat,IoU_fence,IoU_object,IoU_veget,IoU_terrain,IoU_building,IoU_car,mIoU,valIoU_flat,valIoU_fence,valIoU_object,valIoU_veget,valIoU_terrain,valIoU_building,valIoU_car,mVal_IoU
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7437757302479064,0.4201076174857461,0.035220683286905106,0.4183123357531191,0.5677067451087859,0.7556306306253779,0.0,42.01076775011202
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24877864331828067,0.2798763673905684,0.099577691376204,0.6200993783448984,0.28654480144288336,0.42425796973751156,0.0,27.987640737290665
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025914495504032218,0.3637365287736479,0.156756756749324,0.7987532419458894,0.3094060506012408,0.8011351574762793,0.09045383410165041,36.373658073600915
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8150110725455663,0.610239775329868,0.1976478274858273,0.8862143336144745,0.5092414144663752,0.8835609820846856,0.36976363202205387,61.023986250697874
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8401601613935272,0.6418172441208719,0.2859374999593839,0.9158069167672508,0.6964252988364051,0.8803101228737255,0.23226410671218353,64.18173358090496
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.706851065303354,0.5946505278297117,0.3338298822681618,0.8941738617043238,0.5842549149877421,0.8564953757527011,0.19229866161251497,59.46506127797871
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8117790257393903,0.6707291343112107,0.30903474898702166,0.9175087639044448,0.6783703596481212,0.8878657199985236,0.41981685831889715,67.07292301296583
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8604578905513789,0.629177082031974,0.3045895096487187,0.9089748802712683,0.7196082925398785,0.8825830531942279,0.09884949516345397,62.91771719144143
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8859739829396792,0.7405352830169645,0.32650293802523683,0.9303424258632751,0.7367115438346201,0.8868155305140977,0.6768660174601608,74.05353888077192
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.588187946472605,0.5865438168702428,0.28435697314483255,0.926661468601696,0.5003062987767519,0.9337353405412355,0.28601546022815283,58.65439006622167
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7311619763395851,0.6962788891444138,0.34416695170301626,0.9315991888109426,0.6073337733556424,0.8990093307873338,0.6644028101488517,69.62789886128266
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6804342549405765,0.681890376007774,0.4893544540130549,0.9387450063827457,0.5646272716510335,0.9178302511841585,0.5003516997654509,68.18904734206849
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8649665203213449,0.7193333091396639,0.38297254098750944,0.9532703695983292,0.7296360437982091,0.9307588510378563,0.45439624842804305,71.93334119015653
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7108668189022891,0.5432782192509663,0.1752281175776904,0.9162843779198642,0.5300270114860247,0.8121758136268242,0.1150877192713245,54.327829686214045
