epochs steps out_loss offset_loss train_accuracy time
0 0 1.549 1.872 0.646 5.098
0 1 0.485 2.370 0.821 6.410
0 2 0.230 2.135 0.911 6.824
0 3 0.271 2.683 0.910 7.270
0 4 0.431 2.658 0.843 7.779
0 5 0.534 2.642 0.843 8.231
0 6 0.443 2.619 0.839 8.609
0 7 0.342 3.100 0.866 8.929
0 8 0.476 2.732 0.849 9.337
0 9 0.571 2.688 0.843 9.693
0 10 0.244 3.050 0.934 10.151
0 11 0.390 2.409 0.884 10.478
0 12 0.351 2.121 0.877 10.665
0 13 0.441 2.763 0.884 10.990
0 14 0.405 2.648 0.876 11.302
0 15 0.730 2.522 0.776 11.516
0 16 0.314 2.697 0.906 11.822
0 17 1.101 2.938 0.729 12.004
0 18 0.248 2.675 0.916 12.326
0 19 0.182 2.431 0.935 12.631
0 20 0.716 2.092 0.729 12.888
0 21 0.369 3.199 0.851 13.161
0 22 0.430 2.998 0.814 13.494
0 23 0.300 2.590 0.867 13.803
0 24 0.298 3.068 0.883 14.155
0 25 0.666 2.127 0.714 14.403
0 26 0.241 2.726 0.903 14.728
0 27 0.405 2.157 0.845 15.042
0 28 0.525 2.290 0.806 15.330
0 29 0.232 2.820 0.905 15.657
0 30 0.658 2.712 0.749 15.866
0 31 0.349 3.271 0.899 16.208
0 32 0.240 2.859 0.911 16.633
0 33 0.431 2.502 0.836 16.960
0 34 0.237 2.806 0.906 17.288
0 35 0.308 2.894 0.892 17.698
0 36 0.675 3.826 0.733 17.966
0 37 0.328 2.555 0.864 18.240
0 38 0.349 2.873 0.846 18.555
0 39 0.679 2.400 0.720 18.859
0 40 0.356 2.451 0.849 19.171
0 41 0.313 2.666 0.877 19.473
0 42 0.353 2.757 0.853 19.857
0 43 0.328 2.649 0.849 20.118
0 44 0.232 2.436 0.919 20.393
0 45 0.390 2.581 0.793 20.647
0 46 0.489 2.841 0.829 20.905
0 47 0.456 2.256 0.842 21.123
0 48 0.316 2.858 0.857 21.376
0 49 0.305 2.781 0.899 21.741
0 50 0.285 3.343 0.896 22.083
0 51 0.848 2.323 0.638 22.295
0 52 0.497 2.454 0.760 22.526
0 53 0.412 3.380 0.845 22.726
0 54 0.228 2.590 0.916 23.008
0 55 0.775 2.584 0.710 23.226
0 56 0.200 2.853 0.934 23.589
0 57 0.332 2.479 0.888 23.866
0 58 0.225 2.698 0.920 24.155
0 59 0.374 2.738 0.864 24.504
0 60 0.281 2.873 0.901 24.861
0 61 0.646 2.323 0.736 25.117
0 62 0.216 3.084 0.906 25.495
0 63 0.432 2.250 0.819 25.783
0 64 0.520 2.419 0.796 26.029
0 65 0.421 2.965 0.841 26.402
0 66 0.222 2.888 0.912 26.782
0 67 0.458 2.529 0.827 27.100
0 68 0.462 3.267 0.818 27.442
0 69 0.210 2.642 0.919 27.729
0 70 0.244 2.958 0.904 28.066
0 71 0.390 2.217 0.877 28.284
0 72 0.430 2.267 0.811 28.441
0 73 0.226 2.960 0.917 28.820
0 74 0.369 3.080 0.840 29.082
1 0 0.381 2.654 0.826 35.527
1 1 0.247 2.952 0.909 38.922
1 2 0.446 2.624 0.821 39.288
1 3 0.452 2.731 0.829 39.623
1 4 0.188 2.798 0.930 39.999
1 5 0.216 2.855 0.925 40.400
1 6 0.377 2.711 0.853 40.789
1 7 0.364 2.299 0.875 41.087
1 8 0.265 2.765 0.899 41.457
1 9 0.339 2.437 0.869 41.766
1 10 0.200 2.855 0.923 42.077
1 11 0.360 2.260 0.876 42.274
1 12 0.318 2.303 0.872 42.555
1 13 0.229 3.119 0.925 42.896
1 14 0.290 2.518 0.886 43.149
1 15 0.190 3.043 0.923 43.527
1 16 0.355 2.634 0.814 43.751
1 17 0.179 2.704 0.935 44.092
